"","year","accomplishment","person","gender","category","female","row_num","p_count","p_flag","person_c"
"282",1971,"First African-American to appear by herself on the cover of Playboy","Darine Stern","Female African American Firsts","Social & Jobs",1,282,0,0,"Darine Stern"
"283",1972,"First African-American to campaign for the United States presidency in a major political party and to win a U.S. presidential primary/caucus","Shirley Chisholm","African-American Firsts","Politics",0,283,0,0,"Shirley Chisholm"
"284",1972,"First African-American superhero to star in own comic-book series","Luke Cage, Marvel Comics' Luke Cage, Hero for Hire #1","Female African American Firsts","Arts & Entertainment",1,284,0,0,"Luke Cage, Marvel Comics' Luke Cage, Hero for Hire #1"
"285",1972,"First African-American National Basketball Association general manager","Wayne Embry","African-American Firsts","Military",0,285,0,0,"Wayne Embry"
"286",1972,"First African-American interracial romantic kiss in a mainstream comics magazine","The Men Who Called Him Monster, by writer Don McGregor","African-American Firsts","Arts & Entertainment",0,286,0,0,"The Men Who Called Him Monster, by writer Don McGregor"
"287",1972,"First African-American interracial male kiss on network television","Sammy Davis Jr.","African-American Firsts","Arts & Entertainment",0,287,1,1,"Sammy Davis Jr.."
"288",1972,"First African-American inducted to the Basketball Hall of Fame","Team-owner and coach Bob Douglas, in the category of contributor","African-American Firsts","Education & Science",0,288,0,0,"Team-owner and coach Bob Douglas, in the category of contributor"
"289",1972,"First African-American woman Broadway director","Vinnette Justine Carroll","Female African American Firsts","Arts & Entertainment",1,289,0,0,"Vinnette Justine Carroll"
"290",1972,"First African-American comic-book creator to receive a created by cover-credit","Wayne Howard","African-American Firsts","Arts & Entertainment",0,290,0,0,"Wayne Howard"
"291",1973,"First African-American artistic director of a professional regional theater","Harold Scott","African-American Firsts","Arts & Entertainment",0,291,0,0,"Harold Scott"
"292",1973,"First African-American Bond villain","Yaphet Kotto, playing Mr. Big/Dr. Kananga, Live and Let Die","African-American Firsts","Arts & Entertainment",0,292,3,0,"Yaphet Kotto, playing Mr. Big/Dr. Kananga, Live and Let Die"
"293",1973,"First African-American Bond Girl in a James Bond movie","Gloria Hendry","African-American Firsts","Arts & Entertainment",0,293,0,0,"Gloria Hendry"
"294",1973,"First African-American elected mayor of Los Angeles","Tom Bradley","African-American Firsts","Politics",0,294,0,0,"Tom Bradley"
"295",1973,"First African-American psychologist in the U.S. Air Force","John D. Robinson","African-American Firsts","Military",0,295,1,0,"John D. Robinson"
"296",1973,"First African-American woman mayor of a U.S. metropolitan city","Doris A. Davis, Compton, California","Female African American Firsts","Politics",1,296,1,0,"Doris A. Davis, Compton, California"
"297",1974,"First African-American model on the cover of American Vogue magazine","Beverly Johnson","African-American Firsts","Arts & Entertainment",0,297,0,0,"Beverly Johnson"
"298",1975,"First African-American elected mayor, and first mayor, of Washington, D.C.","Walter Washington","African-American Firsts","Politics",0,298,0,0,"Walter Washington"
"299",1975,"First African-American game show host","Adam Wade","African-American Firsts","Sports",0,299,0,0,"Adam Wade"
"300",1975,"First African-American four-star general","Daniel James Jr","African-American Firsts","Military",0,300,1,1,"Daniel James Jr."
"301",1975,"First African-American inducted to the Basketball Hall of Fame as a player","Bill Russell","African-American Firsts","Education & Science",0,301,0,0,"Bill Russell"
"302",1975,"First African-American interracial couple in a TV-series cast","The Jeffersons, actors Franklin Cover","African-American Firsts","Arts & Entertainment",0,302,0,0,"The Jeffersons, actors Franklin Cover"
"303",1975,"First African-American interracial romantic kiss in a color comic book","Amazing Adventures #31","African-American Firsts","Arts & Entertainment",0,303,0,0,"Amazing Adventures #31"
"304",1975,"First African-American manager in Major League Baseball","Frank Robinson","African-American Firsts","Education & Science",0,304,0,0,"Frank Robinson"
