"","year","accomplishment","person","gender","category","female","row_num","p_count","p_flag","person_c"
"1",1738,"First free African-American community","Gracia Real de Santa Teresa de Mose","African-American Firsts","Social & Jobs",0,1,0,0,"Gracia Real de Santa Teresa de Mose"
"2",1760,"First known African-American published author","Jupiter Hammon","Female African American Firsts","Arts & Entertainment",1,2,0,0,"Jupiter Hammon"
"3",1768,"First known African-American to be elected to public office","Wentworth Cheswell, town constable in Newmarket, New Hampshire","African-American Firsts","Social & Jobs",0,3,1,0,"Wentworth Cheswell, town constable in Newmarket, New Hampshire"
"4",1773,"First known African-American woman to publish a book","Phillis Wheatley","Female African American Firsts","Arts & Entertainment",1,4,0,0,"Phillis Wheatley"
"5",1773,"First separate African-American church","Silver Bluff Baptist Church, Aiken County, South Carolina","African-American Firsts","Religion",0,5,0,0,"Silver Bluff Baptist Church, Aiken County, South Carolina"
"6",1775,"First African-American to join the Freemasons","Prince Hall","African-American Firsts","Social & Jobs",0,6,0,0,"Prince Hall"
"7",1778,"First African-American U.S. military regiment","The 1st Rhode Island Regiment","African-American Firsts","Military",0,7,0,0,"The 1st Rhode Island Regiment"
"8",1783,"First African-American to formally practice medicine","James Derham, who did not hold an M.D. degree.","African-American Firsts","Education & Science",0,8,3,0,"James Derham, who did not hold an M.D. degree."
"9",1785,"First African-American ordained as a Christian minister in the United States","Rev. Lemuel Haynes. He was ordained in the Congregational Church, which became the United Church of Christ","African-American Firsts","Religion",0,9,2,0,"Rev. Lemuel Haynes. He was ordained in the Congregational Church, which became the United Church of Christ"
"10",1792,"First major African-American Back-to-Africa movement","3,000 Black Loyalist slaves,  who had escaped to British lines during the American Revolutionary War for the promise of freedom, were relocated to Nova Scotia and given land. Later, 1,200 chose to migrate to West Africa and settle in the new British colony of Settler Town, which is present-day Sierra Leone","African-American Firsts","Social & Jobs",0,10,2,1,"3,000 Black Loyalist slaves,  who had escaped to British lines during the American Revolutionary War for the promise of freedom, were relocated to Nova Scotia and given land. Later, 1,200 chose to migrate to West Africa and settle in the new British colony of Settler Town, which is present-day Sierra Leone."
"11",1793,"First African Methodist Episcopal ","Mother Bethel A.M.E. Church, Philadelphia, Pennsylvania was founded by Richard Allen","African-American Firsts","Religion",0,11,3,0,"Mother Bethel A.M.E. Church, Philadelphia, Pennsylvania was founded by Richard Allen"
"12",1794,"First African Episcopal Church established","Absalom Jones founded African Episcopal Church of St. Thomas, Philadelphia, Pennsylvania","Female African American Firsts","Religion",1,12,1,0,"Absalom Jones founded African Episcopal Church of St. Thomas, Philadelphia, Pennsylvania"
"13",1804,"First African-American ordained as an Episcopal priest","Absalom Jones in Philadelphia, Pennsylvania","African-American Firsts","Religion",0,13,0,0,"Absalom Jones in Philadelphia, Pennsylvania"
"14",1807,"First African-American Presbyterian Church in America","First African Presbyterian Church founded in Philadelphia, Pennsylvania by John Gloucester a former slave","African-American Firsts","Religion",0,14,1,0,"First African Presbyterian Church founded in Philadelphia, Pennsylvania by John Gloucester a former slave"
"15",1816,"First fully independent African-American denomination","African Methodist Episcopal Church","African-American Firsts","Religion",0,15,0,0,"African Methodist Episcopal Church"
"16",1821,"First African-American to hold a patent","Thomas L. Jennings, for a dry-cleaning process","African-American Firsts","Education & Science",0,16,1,0,"Thomas L. Jennings, for a dry-cleaning process"
"17",1822,"First African-American captain to sail a whaleship with an all-black crew","Absalom Boston","African-American Firsts","Military",0,17,0,0,"Absalom Boston"
"18",1823,"First African-American to receive a degree from an American college","Alexander Twilight, Middlebury College","African-American Firsts","Education & Science",0,18,0,0,"Alexander Twilight, Middlebury College"
"19",1827,"First African-American owned-and-operated newspaper","Freedom's Journal, founded in New York City by Rev. Peter Williams Jr. and other free blacks","African-American Firsts","Arts & Entertainment",0,19,3,1,"Freedom's Journal, founded in New York City by Rev. Peter Williams Jr. and other free blacks."
"20",1836,"First African-American elected to serve in a state legislature","Alexander Twilight, Vermont","African-American Firsts","Military",0,20,0,0,"Alexander Twilight, Vermont"
"21",1837,"First formally trained African-American medical doctor","Dr James McCune Smith of New York City, who was educated at the University of Glasgow, Scotland, and returned to practice in New York.","African-American Firsts","Education & Science",0,21,1,1,"Dr James McCune Smith of New York City, who was educated at the University of Glasgow, Scotland, and returned to practice in New York.."
"22",1845,"First African-American licensed to practice law","Macon Allen from the Boston bar","African-American Firsts","Law",0,22,0,0,"Macon Allen from the Boston bar"
"23",1847,"First African-American to graduate from a US medical school","Dr. David J. Peck","African-American Firsts","Education & Science",0,23,2,0,"Dr. David J. Peck"
"24",1847,"First African-American president of any nation","Joseph Jenkins Roberts, Liberia","African-American Firsts","Politics",0,24,0,0,"Joseph Jenkins Roberts, Liberia"
"25",1849,"First African-American college professor at a predominantly white institution","Charles L. Reason, New York Central College","African-American Firsts","Education & Science",0,25,1,0,"Charles L. Reason, New York Central College"
"26",1851,"First African-American member of the Society of Jesus ","Patrick Francis Healy","African-American Firsts","Religion",0,26,0,0,"Patrick Francis Healy"
"27",1853,"First novel published by an African-American","Clotel; or, The President's Daughter, by William Wells Brown, then living in London","Female African American Firsts","Arts & Entertainment",1,27,1,1,"Clotel; or, The President's Daughter, by William Wells Brown, then living in London."
"28",1854,"First African-American Roman Catholic priest","James Augustine Healy","African-American Firsts","Religion",0,28,0,0,"James Augustine Healy"
"29",1854,"First institute of higher learning created to educate African-Americans","Ashmun Institute in Pennsylvania, renamed Lincoln University in 1866.","Female African American Firsts","Education & Science",1,29,1,0,"Ashmun Institute in Pennsylvania, renamed Lincoln University in 1866."
"30",1858,"First published play by an African-American","The Escape; or, A Leap for Freedom by William Wells Brown","Female African American Firsts","Arts & Entertainment",1,30,0,0,"The Escape; or, A Leap for Freedom by William Wells Brown"
"31",1858,"First African-American woman college instructor","Sarah Jane Woodson Early, Wilberforce College","Female African American Firsts","Education & Science",1,31,0,0,"Sarah Jane Woodson Early, Wilberforce College"
"32",1861,"First North American military unit with African-American officers","1st Louisiana Native Guard of the Confederate Army","African-American Firsts","Military",0,32,0,0,"1st Louisiana Native Guard of the Confederate Army"
"33",1861,"First African-American US federal government civil servant","William Cooper Nell","African-American Firsts","Politics",0,33,0,0,"William Cooper Nell"
"34",1862,"First African-American woman to earn a B.A.","Mary Jane Patterson, Oberlin College","Female African American Firsts","Education & Science",1,34,0,0,"Mary Jane Patterson, Oberlin College"
"35",1862,"First recognized U.S. Army African-American combat unit","1st South Carolina Volunteers","African-American Firsts","Military",0,35,0,0,"1st South Carolina Volunteers"
"36",1863,"First college owned and operated by African-Americans","Wilberforce University in Ohio","African-American Firsts","Arts & Entertainment",0,36,0,0,"Wilberforce University in Ohio"
"37",1863,"First African-American president of a college","Bishop Daniel Payne","African-American Firsts","Education & Science",0,37,0,0,"Bishop Daniel Payne"
"38",1864,"First African-American woman in the United States to earn an M.D.","Dr. Rebecca Davis Lee Crumpler","Female African American Firsts","Education & Science",1,38,1,0,"Dr. Rebecca Davis Lee Crumpler"
"39",1865,"First African-American field officer in the U.S. Army","Martin Delany","African-American Firsts","Military",0,39,0,0,"Martin Delany"
"40",1865,"First African-American attorney admitted to the bar of the U.S. Supreme Court","John Stewart Rock","African-American Firsts","Law",0,40,0,0,"John Stewart Rock"
"41",1865,"First African-American to be commissioned as captain in the Regular U.S. Army","Orindatus Simon Bolivar Wall, known as OSB Wall","African-American Firsts","Military",0,41,0,0,"Orindatus Simon Bolivar Wall, known as OSB Wall"
"42",1866,"First African-American to earn a Ph.D.","Father Patrick Francis Healy from University of Leuven, Belgium","African-American Firsts","Education & Science",0,42,0,0,"Father Patrick Francis Healy from University of Leuven, Belgium"
"43",1866,"First African-American woman enlistee in the U.S. Army","Cathay Williams","Female African American Firsts","Military",1,43,0,0,"Cathay Williams"
"44",1866,"First African-American woman to serve as a professor","Sarah Jane Woodson Early; Xenia, Ohio's Wilberforce University hired her to teach Latin and English","Female African American Firsts","Military",1,44,0,0,"Sarah Jane Woodson Early; Xenia, Ohio's Wilberforce University hired her to teach Latin and English"
"45",1868,"First elected African-American Lieutenant Governor","Oscar Dunn","African-American Firsts","Politics",0,45,0,0,"Oscar Dunn"
"46",1868,"First African-American mayor","Pierre Caliste Landry, Donaldsonville, Louisiana","African-American Firsts","Politics",0,46,0,0,"Pierre Caliste Landry, Donaldsonville, Louisiana"
"47",1868,"First African-American elected to the U.S. House of Representatives","John Willis Menard. His opponent contested his election, and opposition to his election prevented him from being seated in Congress.","African-American Firsts","Politics",0,47,2,0,"John Willis Menard. His opponent contested his election, and opposition to his election prevented him from being seated in Congress."
"48",1869,"First African-American U.S. diplomat","Ebenezer Don Carlos Bassett, minister to Haiti","African-American Firsts","Politics",0,48,0,0,"Ebenezer Don Carlos Bassett, minister to Haiti"
"49",1869,"First African-American woman school principal","Fanny Jackson Coppin","Female African American Firsts","Education & Science",1,49,0,0,"Fanny Jackson Coppin"
"50",1870,"First African-American to vote in an election under the 15th Amendment to the United States Constitution, granting voting rights regardless of race","Thomas Mundy Peterson","African-American Firsts","Social & Jobs",0,50,0,0,"Thomas Mundy Peterson"
"51",1870,"First African-American to graduate from Harvard College","Richard Theodore Greener","African-American Firsts","Education & Science",0,51,1,0,"Richard Theodore Greener"
"52",1870,"First African-American elected to the U.S. Senate, and first to serve in the U.S. Congress","Hiram Rhodes Revels","African-American Firsts","Military",0,52,0,0,"Hiram Rhodes Revels"
"53",1870,"First African-American to serve in the U.S. House of Representatives","Joseph Rainey","African-American Firsts","Military",0,53,0,0,"Joseph Rainey"
"54",1872,"First African-American midshipman admitted to the United States Naval Academy","John H. Conyers","African-American Firsts","Military",0,54,1,0,"John H. Conyers"
"55",1872,"First African-American governor ","P. B. S. Pinchback of Louisiana","African-American Firsts","Politics",0,55,3,0,"P. B. S. Pinchback of Louisiana"
"56",1872,"First African-American nominee for Vice President of the United States","Frederick Douglass by the Equal Rights Party","African-American Firsts","Politics",0,56,1,0,"Frederick Douglass by the Equal Rights Party"
"57",1874,"First African-American president of a major college/university","Father Patrick Francis Healy, S.J. of Georgetown College.","African-American Firsts","Education & Science",0,57,3,0,"Father Patrick Francis Healy, S.J. of Georgetown College."
"58",1874,"First African-American to preside over the House of Representatives as Speaker pro tempore","Joseph Rainey","African-American Firsts","Politics",0,58,0,0,"Joseph Rainey"
"59",1875,"First African-American Roman Catholic bishop","Bishop James Augustine Healy, of Portland, Maine.","African-American Firsts","Religion",0,59,1,0,"Bishop James Augustine Healy, of Portland, Maine."
"60",1876,"First African-American to earn a doctorate degree from an American university","Edward Alexander Bouchet","African-American Firsts","Education & Science",0,60,0,0,"Edward Alexander Bouchet"
"61",1877,"First African-American graduate of West Point and first African-American commissioned officer in the U.S. military","Henry Ossian Flipper","African-American Firsts","Military",0,61,1,0,"Henry Ossian Flipper"
"62",1878,"First African-American police officer in Boston, Massachusetts","Sergeant Horatio J. Homer","African-American Firsts","Military",0,62,2,0,"Sergeant Horatio J. Homer"
"63",1878,"First African-American baseball player in organized professional baseball","John W. Bud Fowler","African-American Firsts","Education & Science",0,63,2,0,"John W. Bud Fowler"
"64",1879,"First African-American to graduate from a formal nursing school","Mary Eliza Mahoney, Boston, Massachusetts","African-American Firsts","Arts & Entertainment",0,64,1,0,"Mary Eliza Mahoney, Boston, Massachusetts"
"65",1880,"First African-American to command a U.S. ship","Captain Michael Healy","African-American Firsts","Military",0,65,1,0,"Captain Michael Healy"
"66",1881,"First African-American whose signature appeared on U.S. paper currency","Blanche K. Bruce, Register of the Treasury","African-American Firsts","Social & Jobs",0,66,2,0,"Blanche K. Bruce, Register of the Treasury"
"67",1882,"First fully state-supported four-year institution of higher learning for African-Americans","Virginia State University","Female African American Firsts","Education & Science",1,67,0,0,"Virginia State University"
"68",1883,"First known African-American woman to graduate from one of the Seven Sisters colleges","Hortense Parker","Female African American Firsts","Social & Jobs",1,68,0,0,"Hortense Parker"
"69",1884,"First African-American to play professional baseball at the major-league level","Moses Fleetwood Walker.","African-American Firsts","Education & Science",0,69,1,0,"Moses Fleetwood Walker."
"70",1884,"First African-American woman to hold a patent","Judy W. Reed, for an improved dough kneader, Washington, D.C","Female African American Firsts","Education & Science",1,70,3,0,"Judy W. Reed, for an improved dough kneader, Washington, D.C"
"71",1884,"First African-American to enlist in the U.S. Signal Corps","William Hallett Greene","African-American Firsts","Military",0,71,0,0,"William Hallett Greene"
"72",1884,"First African-American to chair a political party's National Convention","John R. Lynch, Republican National Convention","African-American Firsts","Politics",0,72,2,0,"John R. Lynch, Republican National Convention"
"73",1884,"First African-American to deliver a keynote address at a political party's National Convention","John R. Lynch, Republican National Convention","African-American Firsts","Politics",0,73,2,0,"John R. Lynch, Republican National Convention"
"74",1886,"First African-American Roman Catholic priest publicly known at the time to be African-American","Augustine Tolton, Quincy and Chicago, Illinois","African-American Firsts","Social & Jobs",0,74,0,0,"Augustine Tolton, Quincy and Chicago, Illinois"
"75",1890,"First African-American woman to earn a dental degree in the United States","Ida Rollins, University of Michigan","Female African American Firsts","Education & Science",1,75,1,0,"Ida Rollins, University of Michigan"
"76",1890,"First African-American to record a best-selling phonograph record","George Washington Johnson, The Laughing Song and The Whistling Coon","African-American Firsts","Education & Science",0,76,1,0,"George Washington Johnson, The Laughing Song and The Whistling Coon"
"77",1890,"First woman and African-American to earn a military pension for their own military service","Ann Bradford Stokes","Female African American Firsts","Military",1,77,1,0,"Ann Bradford Stokes"
"78",1891,"First African-American police officer in present-day New York City","Wiley Overton, hired by the Brooklyn Police Department prior to 1898 incorporation of the five boroughs into the City of New York.","African-American Firsts","Military",0,78,1,0,"Wiley Overton, hired by the Brooklyn Police Department prior to 1898 incorporation of the five boroughs into the City of New York."
"79",1892,"First African-American to sing at Carnegie Hall","Matilda Sissieretta Joyner Jones","African-American Firsts","Arts & Entertainment",0,79,0,0,"Matilda Sissieretta Joyner Jones"
"80",1892,"First African-American named to a College Football All-America Team","William H. Lewis, Harvard University","African-American Firsts","Education & Science",0,80,1,0,"William H. Lewis, Harvard University"
"81",1895,"First African-American woman to work for the United States Postal Service","Mary Fields","Female African American Firsts","Politics",1,81,0,0,"Mary Fields"
"82",1895,"First African-American to earn a doctorate degree ","W.E.B. Du Bois","African-American Firsts","Education & Science",0,82,3,0,"W.E.B. Du Bois"
"83",1898,"First African-American appointed to serve as U.S. Army Paymaster","Richard R. Wright","African-American Firsts","Military",0,83,1,0,"Richard R. Wright"
"84",1899,"First African-American to achieve world championship in any sport","Major Taylor, for 1-mile track cycling","African-American Firsts","Sports",0,84,0,0,"Major Taylor, for 1-mile track cycling"
"85",1901,"First African-American invited to dine at the White House","Booker T. Washington","African-American Firsts","Social & Jobs",0,85,1,0,"Booker T. Washington"
"86",1902,"First African-American professional basketball player","Harry Lew","African-American Firsts","Education & Science",0,86,0,0,"Harry Lew"
"87",1902,"First African-American boxing champion, Joe Gans a lightweight","NANA","African-American Firsts","Sports",0,87,NA,0,"NANA"
"88",1903,"First Broadway musical written by African-Americans, and the first to star African Americans","In Dahomey","African-American Firsts","Arts & Entertainment",0,88,0,0,"In Dahomey"
"89",1903,"First African-American woman to found and become president of a bank","Maggie L. Walker, St. Luke Penny Savings Bank","Female African American Firsts","Politics",1,89,2,0,"Maggie L. Walker, St. Luke Penny Savings Bank"
"90",1904,"First Greek-letter fraternal organization established by African-Americans","Sigma Pi Phi","Female African American Firsts","Social & Jobs",1,90,0,0,"Sigma Pi Phi"
"91",1904,"First African-American to participate in the Olympic Games, and first to win a medal","George Poage","African-American Firsts","Education & Science",0,91,0,0,"George Poage"
"92",1906,"First intercollegiate Greek-letter organization established by African-Americans","Alpha Phi Alpha","Female African American Firsts","Social & Jobs",1,92,0,0,"Alpha Phi Alpha"
"93",1907,"First African-American Greek Orthodox priest and missionary in America","Very Rev. Fr. Robert Josias Morgan","African-American Firsts","Social & Jobs",0,93,2,0,"Very Rev. Fr. Robert Josias Morgan"
"94",1908,"First African-American heavyweight boxing champion","Jack Johnson","African-American Firsts","Sports",0,94,0,0,"Jack Johnson"
"95",1908,"First African-American Olympic gold medal winner","John Taylor","African-American Firsts","Education & Science",0,95,0,0,"John Taylor"
"96",1908,"First intercollegiate Greek-letter sorority established by African-Americans","Alpha Kappa Alpha","Female African American Firsts","Social & Jobs",1,96,0,0,"Alpha Kappa Alpha"
"97",1910,"First African-American woman millionaire","Madam C. J. Walker","Female African American Firsts","Social & Jobs",1,97,2,0,"Madam C. J. Walker"
"98",1911,"First intercollegiate Greek-letter fraternity established by African-Americans at a historically black college","Omega Psi Phi","Female African American Firsts","Social & Jobs",1,98,0,0,"Omega Psi Phi"
"99",1911,"First African-American police officer in New York City","Samuel J. Battle, following the 1898 incorporation of the five boroughs into the City of New York, and the hiring of three African-American officers in the Brooklyn Police Department. Battle was also the NYPD's first African-American sergeant","African-American Firsts","Military",0,99,2,0,"Samuel J. Battle, following the 1898 incorporation of the five boroughs into the City of New York, and the hiring of three African-American officers in the Brooklyn Police Department. Battle was also the NYPD's first African-American sergeant"
"100",1911,"First African-American attorney admitted to the American Bar Association","Butler R. Wilson","African-American Firsts","Law",0,100,1,0,"Butler R. Wilson"
"101",1914,"First African-American military pilot","Eugene Jacques Bullard","African-American Firsts","Military",0,101,0,0,"Eugene Jacques Bullard"
"102",1915,"First African-American alderman of Chicago","Oscar Stanton De Priest","African-American Firsts","Politics",0,102,0,0,"Oscar Stanton De Priest"
"103",1916,"First African-American to play in a Rose Bowl game","Fritz Pollard, Brown University","African-American Firsts","Sports",0,103,0,0,"Fritz Pollard, Brown University"
"104",1916,"First African-American to become a colonel in the U.S. Army","Charles Young","African-American Firsts","Military",0,104,0,0,"Charles Young"
"105",1917,"First African-American woman to win a major sports title","Lucy Diggs Slowe, American Tennis Association","Female African American Firsts","Sports",1,105,0,0,"Lucy Diggs Slowe, American Tennis Association"
"106",1917,"First African-American to enter the University of Oregon","Mabel Byrd","African-American Firsts","Education & Science",0,106,0,0,"Mabel Byrd"
"107",1919,"First African-American special agent for the FBI","James Wormley Jones","African-American Firsts","Law",0,107,0,0,"James Wormley Jones"
"108",1919,"First African-American women appointed as police officers","Cora I. Parchment at the New York Police Department","African-American Firsts","Military",0,108,1,0,"Cora I. Parchment at the New York Police Department"
"109",1920,"First African-American NFL football players","Fritz Pollard","African-American Firsts","Sports",0,109,0,0,"Fritz Pollard"
"110",1920,"First African-American bishops of the Methodist Episcopal Church","Robert Elijah Jones and Matthew Wesley Clair","African-American Firsts","Religion",0,110,1,0,"Robert Elijah Jones and Matthew Wesley Clair"
"111",1921,"First African-American woman to become an aviation pilot, first American to hold an international pilot license","Bessie Coleman","Female African American Firsts","Social & Jobs",1,111,0,0,"Bessie Coleman"
"112",1921,"First African-American NFL football coach","Fritz Pollard, co-head coach, Akron Pros, while continuing to play running back","African-American Firsts","Sports",0,112,0,1,"Fritz Pollard, co-head coach, Akron Pros, while continuing to play running back."
"113",1921,"First African-American woman to earn a Ph.D. in the U.S.","Sadie Tanner Mossell, Ph.D. in Economics from the University of Pennsylvania","Female African American Firsts","Education & Science",1,113,2,0,"Sadie Tanner Mossell, Ph.D. in Economics from the University of Pennsylvania"
"114",1924,"First African-American to win individual Olympic gold medal","DeHart Hubbard","African-American Firsts","Education & Science",0,114,0,0,"DeHart Hubbard"
"115",1925,"First African-American Foreign Service Officer","Clifton R. Wharton Sr","African-American Firsts","Military",0,115,2,1,"Clifton R. Wharton Sr."
"116",1927,"First African-American to become an officer in the New York Fire Department in New York City","Wesley Augustus Williams","African-American Firsts","Military",0,116,1,0,"Wesley Augustus Williams"
"117",1927,"First African-American to star in an international motion picture","Josephine Baker in La Sirène des tropiques","African-American Firsts","Arts & Entertainment",0,117,1,0,"Josephine Baker in La Sirène des tropiques"
"118",1928,"First post-Reconstruction African-American elected to U.S. House of Representatives","Oscar Stanton De Priest","African-American Firsts","Politics",0,118,0,0,"Oscar Stanton De Priest"
"119",1928,"First African-American woman to serve in a state legislature","Minnie Buckingham Harper, West Virginia","Female African American Firsts","Military",1,119,0,0,"Minnie Buckingham Harper, West Virginia"
"120",1929,"First African-American sportscaster","Sherman Jocko Maxwell","African-American Firsts","Sports",0,120,0,0,"Sherman Jocko Maxwell"
"121",1931,"First African-American composer to have their symphony performed by a leading orchestra","William Grant Still, Symphony No. 1, by Rochester Philharmonic Orchestra","African-American Firsts","Arts & Entertainment",0,121,1,0,"William Grant Still, Symphony No. 1, by Rochester Philharmonic Orchestra"
"122",1931,"First African-American woman to graduate from Yale Law School","Jane Matilda Bolin","Female African American Firsts","Law",1,122,0,0,"Jane Matilda Bolin"
"123",1932,"First African-American on a presidential ticket in the 20th century","James W. Ford","African-American Firsts","Politics",0,123,1,0,"James W. Ford"
"124",1934,"First African-American elected to the U.S. House of Representatives as a Democrat","Arthur W. Mitchell","African-American Firsts","Politics",0,124,1,0,"Arthur W. Mitchell"
"125",1934,"First trade union set up for African-American domestic workers by Dora Lee Jones","NANA","African-American Firsts","Politics",0,125,NA,0,"NANA"
"126",1935,"First known interracial jazz group","Benny Goodman Trio","African-American Firsts","Social & Jobs",0,126,0,0,"Benny Goodman Trio"
"127",1936,"First African-American to conduct a major U.S. orchestra","William Grant Still","African-American Firsts","Arts & Entertainment",0,127,0,0,"William Grant Still"
"128",1936,"First African-American women selected for the Olympic Games","Tidye Pickett and Louise Stokes.:86","African-American Firsts","Politics",0,128,1,0,"Tidye Pickett and Louise Stokes.:86"
"129",1937,"First African-American federal magistrate","William H. Hastie","African-American Firsts","Politics",0,129,1,0,"William H. Hastie"
"130",1938,"First African-American woman federal agency head","Mary McLeod Bethune","Female African American Firsts","Politics",1,130,0,0,"Mary McLeod Bethune"
"131",1938,"First African-American woman elected to a state legislature","Crystal Bird Fauset","Female African American Firsts","Politics",1,131,0,0,"Crystal Bird Fauset"
"132",1939,"First African-American to star in her own television program","Ethel Waters, The Ethel Waters Show, on NBC","Female African American Firsts","Arts & Entertainment",1,132,0,0,"Ethel Waters, The Ethel Waters Show, on NBC"
"133",1940,"First African-American to win an Oscar","Hattie McDaniel","African-American Firsts","Arts & Entertainment",0,133,0,0,"Hattie McDaniel"
"134",1940,"First African-American to be portrayed on a U.S. postage stamp","Booker T. Washington","African-American Firsts","Social & Jobs",0,134,1,0,"Booker T. Washington"
"135",1940,"First African-American flag officer","BG Benjamin O. Davis Sr., U.S. Army","African-American Firsts","Military",0,135,4,1,"BG Benjamin O. Davis Sr., U.S. Army."
"136",1941,"First African-American to give a White House Command Performance","Josh White","African-American Firsts","Military",0,136,0,0,"Josh White"
"137",1942,"First African-American to be awarded the Navy Cross","Doris Miller","African-American Firsts","Military",0,137,0,0,"Doris Miller"
"138",1942,"First African-American member of the U.S. Marine Corps","Alfred Masters","African-American Firsts","Military",0,138,0,0,"Alfred Masters"
"139",1943,"Martin A. Martin, first African-American to become a member of the Trial Bureau of the United States Department of Justice, was sworn in on May 31, 1943.","NANA","African-American Firsts","Politics",0,139,NA,0,"NANA"
"140",1943,"First African-American artists to have a #1 hit on the Billboard charts","Mills Brothers","African-American Firsts","Arts & Entertainment",0,140,0,0,"Mills Brothers"
"141",1944,"First African-American commissioned officers in the U.S. Navy","The Golden Thirteen","African-American Firsts","Military",0,141,0,0,"The Golden Thirteen"
"142",1944,"First African-American commissioned as a U.S. Navy officer from the Naval Reserve Officer Training Corps","Samuel Gravely","African-American Firsts","Military",0,142,1,0,"Samuel Gravely"
"143",1944,"First African-American to co-pastor with a white minister at the first interracial church","Dr. Howard Thurman with Dr. Alfred Fisk, Church for the Fellowship of All Peoples, San Francisco","African-American Firsts","Religion",0,143,2,0,"Dr. Howard Thurman with Dr. Alfred Fisk, Church for the Fellowship of All Peoples, San Francisco"
"144",1944,"First African-American to receive a contract with a major American opera company","Camilla Williams","African-American Firsts","Arts & Entertainment",0,144,0,0,"Camilla Williams"
"145",1944,"First known African-American comic book artist","Matt Baker in Jumbo Comics #69 for Fiction House","African-American Firsts","Arts & Entertainment",0,145,0,0,"Matt Baker in Jumbo Comics #69 for Fiction House"
"146",1944,"First African-American reporter to attend a U.S. presidential news conference","Harry McAlpin","African-American Firsts","Social & Jobs",0,146,0,0,"Harry McAlpin"
"147",1945,"First African-American member of the New York City Opera","Todd Duncan","African-American Firsts","Arts & Entertainment",0,147,0,0,"Todd Duncan"
"148",1945,"First African-American U.S. Marine Corps officer","Frederick C. Branch","African-American Firsts","Military",0,148,1,0,"Frederick C. Branch"
"149",1947,"First African-American Major League Baseball player of the modern era","Jackie Robinson","African-American Firsts","Education & Science",0,149,0,0,"Jackie Robinson"
"150",1947,"First African-American consensus college All-American basketball player","Don Barksdale","African-American Firsts","Education & Science",0,150,0,0,"Don Barksdale"
"151",1947,"First African-American artist to receive sole credit for a #1 hit on the Billboard charts","Count Basie","African-American Firsts","Arts & Entertainment",0,151,0,0,"Count Basie"
"152",1947,"First comic book produced entirely by African-Americans","All-Negro Comics","African-American Firsts","Arts & Entertainment",0,152,0,0,"All-Negro Comics"
"153",1947,"First African-American full-time faculty member at a predominantly white law school","William Robert Ming","African-American Firsts","Law",0,153,0,0,"William Robert Ming"
"154",1947,"First African-American female member of the U.S. House and Senate press galleries","Alice Allison Dunnigan","Female African American Firsts","Social & Jobs",1,154,0,0,"Alice Allison Dunnigan"
"155",1948,"First African-American man to receive an Oscar","James Baskett","African-American Firsts","Arts & Entertainment",0,155,0,0,"James Baskett"
"156",1948,"First African-American U.S. Navy aviator","Jesse L. Brown","African-American Firsts","Military",0,156,1,0,"Jesse L. Brown"
"157",1948,"First African-American composer to have an opera performed by a major U.S. company","William Grant Still","African-American Firsts","Arts & Entertainment",0,157,0,0,"William Grant Still"
"158",1948,"First African-American woman to win an Olympic gold medal","Alice Coachman","Female African American Firsts","Education & Science",1,158,0,0,"Alice Coachman"
"159",1948,"First African-American since Reconstruction to enroll at a traditionally white university of the South","Silas Hunt","African-American Firsts","Education & Science",0,159,0,0,"Silas Hunt"
"160",1948,"First known African-American star of a regularly scheduled network television series","Bob Howard, The Bob Howard Show","African-American Firsts","Arts & Entertainment",0,160,0,0,"Bob Howard, The Bob Howard Show"
"161",1948,"First African-American to star in network television sitcom","Amanda Randolph, The Laytons","African-American Firsts","Arts & Entertainment",0,161,0,0,"Amanda Randolph, The Laytons"
"162",1948,"First African-American male to graduate from Oregon State College","William Tebeau","African-American Firsts","Education & Science",0,162,0,0,"William Tebeau"
"163",1948,"First African-American female reporter to travel with a U.S. president ","Alice Allison Dunnigan","Female African American Firsts","Social & Jobs",1,163,0,0,"Alice Allison Dunnigan"
"164",1949,"First African-American graduate of the U.S. Naval Academy","Wesley Brown","African-American Firsts","Military",0,164,0,0,"Wesley Brown"
"165",1949,"First African-American to hold rank of Ambassador of the United States","Edward R. Dudley, ambassador, and previously minister, to Liberia","African-American Firsts","Education & Science",0,165,1,0,"Edward R. Dudley, ambassador, and previously minister, to Liberia"
"166",1949,"First African-American to win an MVP award in Major League Baseball","Jackie Robinson","African-American Firsts","Education & Science",0,166,0,0,"Jackie Robinson"
"167",1949,"First African-American-owned and -operated radio station","WERD, established October 3, 1949 in Atlanta, Georgia by Jesse B. Blayton Sr","African-American Firsts","Arts & Entertainment",0,167,2,1,"WERD, established October 3, 1949 in Atlanta, Georgia by Jesse B. Blayton Sr."
"168",1949,"First African-American woman president of an NAACP chapter nationwide","Florence LeSueur of Boston's NAACP chapter","Female African American Firsts","Politics",1,168,1,0,"Florence LeSueur of Boston's NAACP chapter"
"169",1950,"First African-American to win a Tony Award","Juanita Hall","African-American Firsts","Arts & Entertainment",0,169,0,0,"Juanita Hall"
"170",1950,"First African-American to win Pulitzer Prize","Gwendolyn Brooks","African-American Firsts","Arts & Entertainment",0,170,0,0,"Gwendolyn Brooks"
"171",1950,"First African-American to win Nobel Peace Prize","Ralph Bunche","African-American Firsts","Education & Science",0,171,0,0,"Ralph Bunche"
